,Rannsakningsfångar o. ådömde fängelse vid vatten och bröd_M.,Rannsakningsfångar o. ådömde fängelse vid vatten och bröd_Q.,"Personer, ådömde fängelse för vites- och ensaks-böter._M.","Personer, ådömde fängelse för vites- och ensaks-böter._Q.",Pionnierer,Försvarslöse personer och derföre häktade._M.,Försvarslöse personer och derföre häktade._Q.,Bysatte personer._M.,Bysatte personer._Q.,Summa.,Summa Summarum.,"Barn, som åtföljt föräldrar i fängelse."
Stockholms Stadshäkten,2958,1159,44,16,67,1270,354,265,22,,6155,14
Uppsala Länshäkte,119,27,29,6,2,80,16,26,1,,306,6
Stockholms D:o,357,83,57,7,70,287,49,8,,,918,54
Mariestads D:o,326,31,289,60,3,127,19,8,,,863,26
Wexiö D:o,121,37,23,5,,72,18,1,,,277,20
Jönköpings D:o,174,23,63,14,19,120,21,10,,,444,14
Westerås D:o,182,29,16,3,,123,31,,,,384,35
Linköpings D:o,253,39,112,32,19,151,49,10,,665,,27
Norrköpings Stadshäkte,86,14,24,4,12,45,4,1,,190,855,
Nyköpings Länshäkte,306,28,7,7,3,69,15,3,,438,,2
Andra Häkten,88,23,,,,,,,,111,549,
Wenersborgs Länshäkten,264,39,52,8,29,125,16,17,,550,,17
Alingsås Kronohäkte,244,38,121,12,,35,8,,,458,1008,3
Calmar Länshäkte,370,58,106,28,6,99,36,11,,,714,22
Fahlu D:o,180,18,3,4,,88,19,39,2,,353,28
Örebro D:o,157,15,24,9,,139,36,15,,395,,45
Nora Kronofängelse,35,13,17,3,,10,2,,,80,475,2
Carlstads Länshäkte,167,29,52,9,,78,41,8,1,385,,43
Christinehamns Stadshäkte,,,,,,,,,,,,
Philipstads D:o,,,,,,,,,,,,
Gefle Länshäkte,136,23,4,2,10,91,20,14,,,300,26
Hernösands D:o,78,22,12,1,,45,13,2,,173,,14
Medelpads D:o,40,9,40,13,,4,,2,,108,281,7
Umeå D:o,72,8,6,,,45,15,4,,,150,7
Wisby D:o,72,14,7,1,3,10,1,6,,,114,
Malmö D:o,278,41,21,6,,212,71,64,1,694,,28
Landskrona D:o,88,14,15,8,5,94,23,5,,252,946,9
Christianstads D:o,171,33,18,3,16,124,26,2,,,393,19
Carlskrona Amiralitets-häkte,159,,75,,26,101,,11,,372,,
Carlskrona Rådhus-häkte,,26,,25,,,20,,,71,,24
Carlshamns Stadshäkte,1,,2,2,,,,,,5,448,
Halmstads Länshäkte,104,22,12,5,1,69,19,7,,239,,9
Warbergs D:o,112,20,72,4,4,3,6,14,2,237,476,1
Götheborgs D:o,243,31,24,10,30,173,28,9,,548,,11
Götheborgs Stadshäkte,116,29,4,2,7,80,21,12,,271,819,6
Östersunds Länshäkte,43,6,2,3,,31,15,17,,,117,15
Piteå D:o,66,4,4,,1,14,2,1,,,92,1
Summa,8166,2005,1357,312,333,4014,1014,592,29,,17822,535